Taxa de homicídios (100.000 Habitantes)
Sigla;Código;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;
AM;1304104;Tapauá;5,0671395997;10,7394082586;10,8096422008;10,8796170375;5,4743526578;5,5087313392;5,5435445424;17,1969045572;11,5613619284;
AM;1304203;Tefé;14,1569534236;20,5238313257;14,260588487;11,1314303888;20,7458947066;6,4060473087;22,4971878515;21,5003969304;34,9103966486;
AM;1304237;Tonantins;;;;;;16,2364020133;5,3671103478;;;
AM;1304260;Uarini;40,6471018616;16,0384923817;;23,4356690884;;7,6219512195;7,5323892739;7,5574365175;29,8797340704;
AM;1304302;Urucará;22,6193168966;11,3785060022;17,1713124606;11,516093741;5,7930714865;5,8254689503;11,7198945209;12,1124031008;24,4155527071;
AM;1304401;Urucurituba;;5,2614963696;;14,932059131;4,8489550502;23,6507260773;9,2378752887;13,6345043858;8,8742956028;
AP;1600055;Serra do Navio;;;21,4086919289;21,0039907582;20,6313183412;40,494027131;;38,3656244005;18,8465887674;
AP;1600105;Amapá;12,0918984281;11,9875329657;23,7727326756;23,5765648945;23,3890773009;11,6009280742;11,5074798619;11,1744328975;11,075423635;
AP;1600154;Pedra Branca do Amaparí;;17,1777033411;40,8563490766;15,5908949174;44,746066075;7,1489848442;20,6043956044;13,0267700124;6,2770698638;
AP;1600204;Calçoene;32,5238508239;10,6202209006;10,4101603165;51,0568773614;60,1503759398;39,3584571485;48,3325277912;27,9537830786;27,4574409665;
