Despesas por função - educação e cultura - municipal
Sigla;Código;Município;2010;2011;2012;2013;2014;2015;2016;2017;
AM;1300060;Amaturá;4798148,2;6249303,49;8432392,45;7166152,93;8536232,71;10525669,9;10862505,42;;
AM;1300086;Anamã;6669937,03;7155769,22;6822588,85;7989585,3;6816287,11;9012051,78;15336235,7;8581744,72;
AM;1300102;Anori;5853693,23;5832807,32;9202053,03;13717410,88;9204045,47;8538902,59;9762557,37;12404979,43;
AM;1300144;Apuí;7656618,98;7932727,73;7903612,22;9642540,38;10543918,04;9742175,84;10187780,21;11285106,4;
AM;1300201;Atalaia do Norte;7987052,31;6687182,99;;10021058,83;15006818,12;14555365,18;16560445,43;22439560,58;
AM;1300300;Autazes;19095904,11;20186942,21;25823572,24;27088636,97;25437243,66;28199713,53;25089684,31;33137355,21;
AM;1300409;Barcelos;8690768,65;9728027,89;;9485413,41;10026296,72;12740169,9;9440764,78;12160258,52;
AM;1300508;Barreirinha;18884568,9;22201786,54;24507942,1;30686539,07;36218712,07;28226446,7;33783861,52;33066435,49;
AM;1300607;Benjamin Constant;22080163,1;22013306,69;;26086055,04;35417820,76;34898758,79;35107532,25;42178639,83;
AM;1300631;Beruri;10144600,75;10554440,49;21603301,79;20094436,63;20926509,3;16747600,8;21468689,01;23127334,05;
AM;1300680;Boa Vista do Ramos;;;;10111499,4;11757146,46;13137055,47;14036960,27;15673980,72;
AM;1300706;Boca do Acre;;;;19295137,7;21115561,23;21374467,88;19914202,91;22250505,32;
AM;1300805;Borba;17000224,37;20326567,11;26171774,38;25057842,91;35090449,75;38081251,83;38265566,04;39151187,43;
AM;1300839;Caapiranga;6727266,08;6824461,88;9705605,69;11505325,25;10498320,52;11010830,87;12214447,96;;
AM;1300904;Canutama;5641664,78;5565341,49;11697063,43;8924877,58;8197981,63;8711708,34;8546662,42;9422793,78;
AM;1301001;Carauari;14159199,58;12442058,09;21688596,52;18633451,87;23467495,11;20085238,33;23007467,58;22171279,03;
AM;1301100;Careiro;17791058,75;16983327,53;22956260,39;23992339,99;26084083,13;24177912,99;;34110922,13;
AM;1301159;Careiro da Várzea;10805748,46;14336413,97;14584040,99;15635773,69;15844869,27;18413554,03;15796859,25;17442165;
AM;1301209;Coari;43513567,41;53031253,13;66261662,26;71464661,87;64053570,78;54543647,97;67304643,37;65668078,14;
AM;1301308;Codajás;8189667,57;;;9779999,11;11642564,62;12048447,07;13762003,28;15546093,41;
AM;1301407;Eirunepé;;;;17166425,53;19985999,95;19141962,27;15598841,76;28092653,28;
AM;1301506;Envira;7918726,55;8045891,9;9556060,76;11053781,57;13360948,09;12480496,92;15581032,29;14772208,85;
AM;1301605;Fonte Boa;12822973,6;11878836,04;13159252,42;17516536,24;24315433,62;23652590,25;26982938,73;23555062,82;
AM;1301654;Guajará;4728132,95;5355472,55;7826358,95;8036200,49;12014259,77;11025057,01;9338984,69;12002454,11;
AM;1301704;Humaitá;18633789,15;20684170,92;27118373,5;30133063,35;27874388,26;30796820,81;31380905,82;35066163,43;
AM;1301803;Ipixuna;7193411,38;7454622,23;8468890,49;10351506,01;10120937,91;10274509,67;11153633,39;14288229,87;
AM;1301852;Iranduba;27559172,39;34441437,6;31254688,42;40494964,61;47365418,5;47079987,49;48914796,49;56195709,44;
AM;1301902;Itacoatiara;43738837,99;53969609,08;;66250128,6;72014078,15;74421806,78;68147539,07;87350561,8;
AM;1301951;Itamarati;4988999,49;5739447,7;8338798,48;9254297,42;;12575346,91;10802538,86;12734164,79;
AM;1302009;Itapiranga;4166819,19;4417622,46;;7658626,43;6639734,62;7115493,43;6487481,91;9225834,13;
AM;1302108;Japurá;5645021,43;7146204,88;7243594,75;7657119,27;11103984,86;12732550,67;13301983,71;14595449,94;
AM;1302207;Juruá;9246969,49;9487191,34;13899023,91;13945899,25;12602836,51;11533285,63;11212970,16;12423600,13;
AM;1302306;Jutaí;10666668,09;;;16720210,59;36912222,49;22201571,27;23877147,87;27363854,31;
AM;1302405;Lábrea;17473367,34;18611009,28;21163131,91;25823517,04;30709042,09;25995153,23;32316814,78;42523213,9;
AM;1302504;Manacapuru;30361366,28;40318706,42;42696238,41;45934067,16;55094074,62;50434492,25;57991238,17;71567978,49;
AM;1302553;Manaquiri;11826326,11;14143749,47;16647071,25;18612890,14;20114704,55;17902767,69;16961388,04;20010300,9;
AM;1302603;Manaus;623617483,93;675962096,25;816311340,47;953317326,71;1118079137,1;1097281257,41;1152808134,56;1252375389,87;
AM;1302702;Manicoré;16868197,32;22581765,84;26484869,33;32793418,28;32830675,03;34636771,53;41838293,43;41152724,61;
AM;1302801;Maraã;16624647,15;15057725,01;17415956,83;15940041,34;23030751,71;21066906,36;20036896,86;24002262,68;
AM;1302900;Maués;32860113,5;36286502,15;43412733,15;43166418,47;47314424,95;53296139,33;56862574,47;56539717,44;
AM;1303007;Nhamundá;4895529,57;9890880,27;14693727,3;15435575,77;15869044,79;13944498,63;15573192,35;15026198,03;
AM;1303106;Nova Olinda do Norte;17037312,22;19106187,79;20697017,02;21864094,43;22000167,17;25318206,61;22390713,55;29372220,71;
AM;1303205;Novo Airão;6356861,2;6910543,44;5295693,48;8603444,18;8254193,38;11382760,05;;13465521,57;
AM;1303304;Novo Aripuanã;8060704,75;;12462966,15;12616601,14;12689585,93;13500773,24;14320647,18;15670368,85;
AM;1303403;Parintins;48275445,19;54453069,29;64903517,13;68713647,25;85194480,46;82534033,59;;82690061,09;
AM;1303502;Pauini;7826165,26;6981169,92;10203311,09;10179186,36;;;12791896,14;14753877,73;
AM;1303536;Presidente Figueiredo;26601962,64;33082196,77;37250696;43695565,78;51052919,96;49805041,69;45756274,15;57723070,34;
AM;1303569;Rio Preto da Eva;12886187,37;14845788,1;17412719,95;16873097,3;20029690,15;18017866,53;21474994,82;29419901,42;
AM;1303601;Santa Isabel do Rio Negro;6799515,66;5919267,66;7194318,6;;9346648,9;;3263412,42;13862285,42;
AM;1303700;Santo Antônio do Içá;10847918,32;10630886,83;13047218,18;15260101,7;18739386,94;21732156,71;22669153,9;27944486,64;
AM;1303809;São Gabriel da Cachoeira;19140962,38;21146904,97;;28493918,17;34977559,97;37581297,36;37348463,59;44674786,41;
AM;1303908;São Paulo de Olivença;16415596,57;18560890,49;21318594,45;30498594,03;30627307,67;32905458,45;33530533,99;36283967,65;
AM;1303957;São Sebastião do Uatumã;3521314,45;4621168,64;4687088,75;4844764,68;6188698,53;5709791,66;6642239,65;8145144,19;
AM;1304005;Silves;5524256,41;6250897,11;7945184,33;8938422,34;11128651,29;9154421,64;8998154,66;9929207,04;
AM;1304062;Tabatinga;51184305,73;28803310,94;22600034,89;31846001,44;33827876,98;;;51986674,57;
AM;1304104;Tapauá;10048712,94;10370602,09;10497026,11;12096658,25;11209478,19;11422930,17;14049765,19;11131309,92;
AM;1304203;Tefé;23291161,47;29361593,08;54380872,59;48749002,79;48326459,32;48775839,79;53091199,31;57002068,54;
AM;1304237;Tonantins;7098611,18;6720094,05;11554915,72;17585749,03;19848925,55;21217216,61;22350908,09;20032117,32;
AM;1304260;Uarini;9692270;10805208,7;13919494,3;;19426416,67;20132321;18126120,39;18426524,31;
AM;1304302;Urucará;7716483,45;10289660,86;16178251,96;12285093,64;14284977,77;11741908,74;14088088,36;16504732,05;
AM;1304401;Urucurituba;8501785,96;8195581,56;9416919,67;8289063,81;9163144,15;11425669,97;9526337,72;13988960,48;
AP;1600055;Serra do Navio;2250231,12;1647400,32;1802969,06;2349426,05;3825870,19;4128613,77;3221246,32;4795719,33;
AP;1600105;Amapá;;;;4379540,4;6379423,57;4984794,28;5416603,82;5119235,23;
AP;1600154;Pedra Branca do Amaparí;4662849,47;8133276,41;9511370,86;;17195216,41;12213286,94;11172211,98;15103437,42;
AP;1600204;Calçoene;3831029,49;4631941,01;5716526,83;6697347,96;8355084,75;9252657,61;8900738,92;9817683,92;
AP;1600212;Cutias;2097997,71;3181836,55;;;3118136,22;;;;
AP;1600238;Ferreira Gomes;3757662,41;5076513,09;8769908,96;11844244,59;15138214,12;15123145,99;10814313,11;11928989,56;
AP;1600253;Itaubal;2113533,2;;;;3497993,1;3497993,1;3497993,1;;
AP;1600279;Laranjal do Jari;16285977,27;18599818,18;21569831,2;;33037889,43;23637962,14;;30911504,08;
AP;1600303;Macapá;102442117,85;119483486,6;141743082,09;163970657,44;155976588,39;207422245,5;193433712,14;208504691,18;
AP;1600402;Mazagão;7120275,83;8868220,1;;11170556,88;11955397,29;13348287,77;;0;
AP;1600501;Oiapoque;5749196,23;8034216,04;;;;;;17404981,03;
AP;1600535;Porto Grande;8438366,05;9793991,88;11571354,06;13265947,02;15588232,87;16682061,79;17572767,35;19243582,14;
AP;1600550;Pracuúba;2183599,47;2213501,19;2149731,58;;3678446,05;;3532317,83;3049182,96;
AP;1600600;Santana;27706381,12;28340273,31;33702261,74;37222690,11;;62914145,79;34232442,65;53000619,25;
AP;1600709;Tartarugalzinho;5413050,61;5172843,45;5738521,97;8550338,65;6565714,23;;;;
AP;1600808;Vitória do Jari;9862711,39;9401404,97;10750844,42;12992122,79;12175663,87;13469047,81;15736211,22;15429582,12;
BA;2900108;Abaíra;3369990,4;4542309,2;4959910,74;4991700,82;6676031,04;5239641,66;6350894,35;7151033,93;
BA;2900207;Abaré;9301279,5;8521342,12;;12906882,6;14899164,84;15819911,6;;18218442,37;
BA;2900306;Acajutiba;;;;10117397,18;9512256,36;10921221,48;11265305,38;13628333,37;
BA;2900355;Adustina;7845444,67;9933201,35;11292965,32;11641388,26;12528235,61;14829153,92;15037813,01;14016737,15;
BA;2900405;Água Fria;10389074,81;12147315,67;12947870,53;15076081,12;14715513,26;14718543,75;16271491,37;17254109,65;
BA;2900504;Érico Cardoso;5373031,38;6620316,74;6756772,69;8251622,67;8251622,67;8263302,77;9369881,16;10306868,63;
BA;2900603;Aiquara;3543375,53;4110856,54;5302940,9;;;4770069,55;;5594216,48;
BA;2900702;Alagoinhas;35072467,67;43800243,38;54817902,02;62665082,62;64427594,66;68675154,45;71470101,65;75433288,05;
BA;2900801;Alcobaça;16116688,08;18136958,34;22275236,76;21506603,06;24853372,78;27010625,76;23306096,97;27345174,61;
BA;2900900;Almadina;;;;4897302,15;5452043,85;5324099,25;5425619,32;5055489,98;
BA;2901007;Amargosa;13847736,94;17120939,82;20082609,64;21231002,61;21913205,14;21354449,26;23009373,53;23189082,83;
BA;2901106;Amélia Rodrigues;9423598,62;11888712,62;12981073,02;16586714,28;16196091,45;18216095,37;18762765,78;20815540,7;
BA;2901155;América Dourada;9299972,7;11158343,26;12235427,21;13430178,31;16953038,5;16454538,72;18346881,28;17318827,82;
BA;2901205;Anagé;11957740,25;;;19097736,29;18792474,45;26564833,97;27914943,03;22846624,63;
BA;2901304;Andaraí;6460280,34;9717209,77;10726529,75;12848715,11;14035773,48;15386436,27;16663247,51;15092140,35;
BA;2901353;Andorinha;9505268,65;11221191,14;10989559,26;15516033,89;14281515,25;19722459,73;15749536,47;18702735,85;
BA;2901403;Angical;8951787,74;9715019,96;11509337,31;11680216,83;14219373,71;13196639,12;13931876,77;14114193,02;
BA;2901502;Anguera;4063199,26;5417632,46;5911620,87;7391611,35;8670533,18;8953685,93;8442550,38;8900702,34;
BA;2901601;Antas;7084829,9;;;;11465729,56;9905749,88;12389382,91;11987522,83;
BA;2901700;Antônio Cardoso;6573974,3;8295142,08;9134703,87;9750828,37;10352758,38;11257408,94;13740743,69;13923811,13;
BA;2901809;Antônio Gonçalves;5587905,58;6831506,23;;7891004,38;8449777,44;10126156,52;11266722,13;10782556,25;
BA;2901908;Aporá;8652362,99;10725924,29;0;12659963,7;14524229,83;15464241,58;16069366,64;28463540,59;
BA;2901957;Apuarema;5695348,45;6091968,34;;8958998,88;7695524,18;7248362,38;8994164,88;9900751,82;
BA;2902005;Aracatu;7931175;10264714,18;11994806,77;10863647,9;;12216513,9;13652173,82;14039535,37;
BA;2902054;Araças;9558191,3;;;12168565,1;14571618,88;15577874,81;15234710,53;15731602,63;
BA;2902104;Araci;34398326,55;38724753,45;45022546,95;48493478,27;49522789,7;51152587,85;56299698,5;54246511,01;
BA;2902203;Aramari;4867491,65;5847875,93;6322295,42;7145896,22;7876029,48;8550420,12;8193674,85;7790044,78;
BA;2902252;Arataca;5600007,9;5600007,9;;9248100,55;10108515,61;9989942,99;10210731,85;12542828,68;
