Despesas por função - saúde e saneamento - municipal
Sigla;Código;Município;2010;2011;2012;2013;2014;2015;2016;2017;
BA;2900405;Água Fria;4156458,93;4877779,52;5451315,76;7360268,9;6786001,13;4437356,17;7500513,55;9426457,83;
BA;2900504;Érico Cardoso;3513785,02;3925566,38;4738056,7;5996778,08;5996778,08;6092617,27;5811377,92;5623294,67;
BA;2900603;Aiquara;1961230,38;2104540,15;2627140,5;;;2947311,2;;2826146,54;
BA;2900702;Alagoinhas;54870323,7;60283688,14;65599459,61;76357891,23;68293099,28;67404721,56;76660668,99;83376539,74;
BA;2900801;Alcobaça;6132415,4;7133358,27;8780293,58;10399867,66;10224198,3;9573520,15;8548957,34;10583178,4;
BA;2900900;Almadina;;;;2466489,73;2968051,6;1785775,88;2851265,26;3236360,73;
BA;2901007;Amargosa;10662905,59;12025605,65;14508948,5;15539908,55;15875727,05;16062168,24;14893417,57;14534517;
BA;2901106;Amélia Rodrigues;6856606,49;7066551,93;8955695,16;8824154,06;10534611,14;9523249,35;10879177,14;11482448,05;
BA;2901155;América Dourada;4395264,87;4100881,64;5407529,78;6338191,77;6672368,63;6279532,22;7795633,39;6728525,61;
BA;2901205;Anagé;6627094,46;;;9683300,27;8692486,44;12201244;11308206,52;9225270,5;
BA;2901304;Andaraí;5412386,27;5314650,12;5999242,32;7119925,33;7250697,58;6866746,49;7534610,61;7313368,21;
BA;2901353;Andorinha;3504906,27;3815159,21;3673780,49;6024221,85;7079360,72;6757966,83;7340222,86;8349268,9;
BA;2901403;Angical;3136615,7;3788045,72;4309621,11;4636221,64;4705865,37;5915064,76;5904195,85;6466557,03;
BA;2901502;Anguera;2322416,17;2774110,78;3025691,28;4054150,48;4496383,54;5426981,8;5324028,64;5026838,74;
BA;2901601;Antas;3247682,55;;;;5281720,88;5780353,88;5777206,38;6645457,56;
BA;2901700;Antônio Cardoso;2724617,84;3046402,81;3289548,18;3955904,31;4546125,94;4761413,94;5528832,09;5788381,92;
BA;2901809;Antônio Gonçalves;2328352,62;2931870,11;;4284184,58;5335809,95;4359241,07;4952705,95;4686582,46;
BA;2901908;Aporá;4669403,63;5332627,07;0;6109486,31;7201857,13;6060394,03;7258077,24;8756565,04;
BA;2901957;Apuarema;2074940,86;2004381,37;;3600376,78;3484408,4;2570749,45;4048539,55;4602707,23;
BA;2902005;Aracatu;4000563,02;4816995,43;5904525,21;5361962,21;;7163585,95;6770481,7;6706762,81;
